"Time differences (ps)"	"Counts per bin"
-1000	0
-990	0
-980	0
-970	0
-960	0
-950	0
-940	0
-930	0
-920	0
-910	0
-900	0
-890	0
-880	0
-870	0
-860	0
-850	0
-840	0
-830	0
-820	0
-810	0
-800	0
-790	0
-780	0
-770	0
-760	0
-750	0
-740	0
-730	0
-720	0
-710	0
-700	0
-690	0
-680	0
-670	0
-660	0
-650	0
-640	0
-630	0
-620	0
-610	0
-600	0
-590	0
-580	0
-570	0
-560	0
-550	0
-540	0
-530	0
-520	0
-510	1
-500	0
-490	1
-480	0
-470	0
-460	0
-450	0
-440	0
-430	0
-420	0
-410	0
-400	0
-390	0
-380	0
-370	0
-360	0
-350	0
-340	0
-330	0
-320	0
-310	0
-300	0
-290	0
-280	0
-270	0
-260	0
-250	0
-240	0
-230	0
-220	0
-210	0
-200	0
-190	0
-180	0
-170	0
-160	0
-150	0
-140	2
-130	2
-120	3
-110	5
-100	4
-90	4
-80	10
-70	15
-60	24
-50	65
-40	138
-30	475
-20	1960
-10	5616
0	6415
10	2643
20	496
30	96
40	24
50	15
60	8
70	4
80	3
90	4
100	0
110	1
120	2
130	1
140	1
150	0
160	0
170	0
180	0
190	0
200	0
210	0
220	0
230	0
240	0
250	1
260	0
270	0
280	0
290	0
300	0
310	0
320	0
330	0
340	0
350	0
360	0
370	0
380	0
390	0
400	0
410	0
420	0
430	0
440	0
450	0
460	0
470	0
480	0
490	0
500	0
510	0
520	0
530	0
540	0
550	0
560	0
570	0
580	0
590	0
600	0
610	0
620	0
630	0
640	0
650	0
660	0
670	0
680	0
690	0
700	0
710	0
720	0
730	0
740	0
750	0
760	0
770	0
780	0
790	0
800	0
810	0
820	0
830	0
840	0
850	0
860	0
870	0
880	0
890	0
900	0
910	0
920	0
930	0
940	0
950	0
960	0
970	0
980	0
990	0
