#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840947043.76	1778643.00000	1778146.00000	1.00027950461
2751000000.00	3840947045.04	1784984.00000	1785146.00000	0.999909251120
2752000000.00	3840947046.32	1789334.00000	1787678.00000	1.00092634132
2753000000.00	3840947047.60	1790433.00000	1791612.00000	0.999341933410
2754000000.00	3840947048.88	1797419.00000	1798378.00000	0.999466741697
2755000000.00	3840947050.17	1791798.00000	1794250.00000	0.998633412289
2756000000.00	3840947051.45	1789426.00000	1788532.00000	1.00049985127
2757000000.00	3840947052.73	1789302.00000	1789675.00000	0.999791582271
2758000000.00	3840947054.02	1787770.00000	1789261.00000	0.999166695077
2759000000.00	3840947055.30	1791050.00000	1790606.00000	1.00024796075
2760000000.00	3840947056.57	1787602.00000	1786275.00000	1.00074288673
2761000000.00	3840947057.85	1791769.00000	1788438.00000	1.00186251914
2762000000.00	3840947059.13	1785545.00000	1785761.00000	0.999879043164
2763000000.00	3840947060.42	1783838.00000	1783474.00000	1.00020409605
2764000000.00	3840947061.70	1786034.00000	1787678.00000	0.999080371297
2765000000.00	3840947062.98	1779727.00000	1782031.00000	0.998707093199
2766000000.00	3840947064.26	1778108.00000	1780300.00000	0.998768746840
2767000000.00	3840947065.54	1774748.00000	1773806.00000	1.00053106146
2768000000.00	3840947066.82	1772815.00000	1775336.00000	0.998579987112
2769000000.00	3840947068.09	1772534.00000	1774303.00000	0.999002988779
2770000000.00	3840947069.37	1787698.00000	1787910.00000	0.999881425799
2771000000.00	3840947070.65	1790458.00000	1793474.00000	0.998318347520
2772000000.00	3840947071.93	1787731.00000	1787719.00000	1.00000671246
2773000000.00	3840947073.22	1787578.00000	1788541.00000	0.999461572309
2774000000.00	3840947074.51	1778477.00000	1777841.00000	1.00035773728
2775000000.00	3840947075.79	1779498.00000	1783369.00000	0.997829389207
2776000000.00	3840947077.07	1775775.00000	1775986.00000	0.999881192757
2777000000.00	3840947078.35	1785410.00000	1785461.00000	0.999971435948
2778000000.00	3840947079.63	1782971.00000	1783782.00000	0.999545348030
2779000000.00	3840947080.91	1787947.00000	1788751.00000	0.999550524360
2780000000.00	3840947082.19	1785749.00000	1786001.00000	0.999858902655
2781000000.00	3840947083.47	1770868.00000	1771584.00000	0.999595841913
2782000000.00	3840947084.75	1784157.00000	1787392.00000	0.998190100437
2783000000.00	3840947086.04	1782739.00000	1783162.00000	0.999762780948
2784000000.00	3840947087.33	1776813.00000	1779436.00000	0.998525937432
2785000000.00	3840947088.61	1777486.00000	1781833.00000	0.997560377432
2786000000.00	3840947089.89	1784764.00000	1784737.00000	1.00001512828
2787000000.00	3840947091.17	1781473.00000	1781162.00000	1.00017460512
2788000000.00	3840947092.45	1787979.00000	1791616.00000	0.997969989105
2789000000.00	3840947093.74	1774078.00000	1779012.00000	0.997226550467
2790000000.00	3840947095.02	1777229.00000	1778259.00000	0.999420781787
2791000000.00	3840947096.30	1777731.00000	1783208.00000	0.996928569185
2792000000.00	3840947097.58	1781910.00000	1781842.00000	1.00003816276
2793000000.00	3840947098.87	1785804.00000	1789893.00000	0.997715505899
2794000000.00	3840947100.15	1783900.00000	1785541.00000	0.999080950815
2795000000.00	3840947101.45	1775043.00000	1777118.00000	0.998832379167
2796000000.00	3840947102.74	1787460.00000	1787499.00000	0.999978181806
2797000000.00	3840947104.02	1780977.00000	1785911.00000	0.997237264343
2798000000.00	3840947105.30	1786709.00000	1790216.00000	0.998041018514
2799000000.00	3840947106.59	1779619.00000	1780368.00000	0.999579300459
2800000000.00	3840947107.87	1782468.00000	1786651.00000	0.997658748127
2801000000.00	3840947109.15	1776155.00000	1780492.00000	0.997564156424
2802000000.00	3840947110.44	1778670.00000	1781789.00000	0.998249512148
2803000000.00	3840947111.72	1785004.00000	1786289.00000	0.999280631522
2804000000.00	3840947113.00	1781310.00000	1783389.00000	0.998834241997
2805000000.00	3840947114.29	1780900.00000	1781398.00000	0.999720444280
2806000000.00	3840947115.57	1778824.00000	1780711.00000	0.998940310921
2807000000.00	3840947116.85	1784027.00000	1789434.00000	0.996978374167
2808000000.00	3840947118.13	1781187.00000	1784084.00000	0.998376197533
2809000000.00	3840947119.41	1788441.00000	1790103.00000	0.999071561804
2810000000.00	3840947120.69	1777242.00000	1779804.00000	0.998560515652
2811000000.00	3840947121.97	1787538.00000	1789733.00000	0.998773560079
2812000000.00	3840947123.25	1789309.00000	1793413.00000	0.997711625822
2813000000.00	3840947124.53	1779998.00000	1783556.00000	0.998005108895
2814000000.00	3840947125.81	1780838.00000	1784425.00000	0.997989828656
2815000000.00	3840947127.10	1774466.00000	1779956.00000	0.996915654095
2816000000.00	3840947128.37	1773857.00000	1778434.00000	0.997426387485
2817000000.00	3840947129.65	1785375.00000	1792565.00000	0.995988987847
2818000000.00	3840947130.95	1764212.00000	1772957.00000	0.995067562270
2819000000.00	3840947132.23	1772555.00000	1779905.00000	0.995870566126
2820000000.00	3840947133.52	1762225.00000	1774080.00000	0.993317663240
2821000000.00	3840947134.80	1749011.00000	1766472.00000	0.990115325915
2822000000.00	3840947136.08	1746818.00000	1765684.00000	0.989315188901
2823000000.00	3840947137.37	1754807.00000	1775227.00000	0.988497245704
2824000000.00	3840947138.65	1745373.00000	1769726.00000	0.986239112721
2825000000.00	3840947139.93	1752316.00000	1780028.00000	0.984431705569
2826000000.00	3840947141.21	1747613.00000	1768158.00000	0.988380563275
2827000000.00	3840947142.49	1749210.00000	1768370.00000	0.989165163399
2828000000.00	3840947143.77	1763724.00000	1783665.00000	0.988820210073
2829000000.00	3840947145.05	1762020.00000	1779466.00000	0.990195935185
2830000000.00	3840947146.33	1760187.00000	1773995.00000	0.992216438040
2831000000.00	3840947147.61	1753707.00000	1767227.00000	0.992349596288
2832000000.00	3840947148.89	1771180.00000	1787178.00000	0.991048457400
2833000000.00	3840947150.17	1762437.00000	1777388.00000	0.991588218217
2834000000.00	3840947151.45	1765027.00000	1781749.00000	0.990614839688
2835000000.00	3840947152.73	1761373.00000	1778343.00000	0.990457408948
2836000000.00	3840947154.02	1764304.00000	1786494.00000	0.987579023495
2837000000.00	3840947155.30	1758619.00000	1778677.00000	0.988723079008
2838000000.00	3840947156.58	1752437.00000	1775374.00000	0.987080468679
2839000000.00	3840947157.87	1749962.00000	1777026.00000	0.984770059639
2840000000.00	3840947159.15	1755263.00000	1779802.00000	0.986212511279
2841000000.00	3840947160.43	1751769.00000	1776346.00000	0.986164294569
2842000000.00	3840947161.72	1751214.00000	1774707.00000	0.986762321893
2843000000.00	3840947163.01	1751843.00000	1774154.00000	0.987424428770
2844000000.00	3840947164.29	1755787.00000	1776683.00000	0.988238757280
2845000000.00	3840947165.58	1756717.00000	1778493.00000	0.987755925944
2846000000.00	3840947166.87	1748806.00000	1768066.00000	0.989106741490
2847000000.00	3840947168.16	1755766.00000	1777975.00000	0.987508823240
2848000000.00	3840947169.44	1749675.00000	1777388.00000	0.984408018958
2849000000.00	3840947170.72	1754109.00000	1780991.00000	0.984906156179
2850000000.00	3840947172.00	1751370.00000	1784709.00000	0.981319643707
2851000000.00	3840947173.28	1745652.00000	1771808.00000	0.985237678123
2852000000.00	3840947174.57	1752490.00000	1780486.00000	0.984276203239
2853000000.00	3840947175.85	1760291.00000	1787439.00000	0.984811789381
2854000000.00	3840947177.14	1752488.00000	1774479.00000	0.987607066638
2855000000.00	3840947178.43	1754226.00000	1770225.00000	0.990962165826
2856000000.00	3840947179.71	1764934.00000	1780273.00000	0.991383905727
2857000000.00	3840947180.99	1767960.00000	1778036.00000	0.994333073121
2858000000.00	3840947182.27	1773066.00000	1785239.00000	0.993181305136
2859000000.00	3840947183.55	1770968.00000	1781487.00000	0.994095382116
2860000000.00	3840947184.84	1765506.00000	1774238.00000	0.995078450580
2861000000.00	3840947186.12	1767507.00000	1777547.00000	0.994351766789
2862000000.00	3840947187.41	1777306.00000	1785488.00000	0.995417499306
2863000000.00	3840947188.69	1778421.00000	1782577.00000	0.997668543911
2864000000.00	3840947189.97	1770348.00000	1779298.00000	0.994969926342
2865000000.00	3840947191.25	1775280.00000	1780245.00000	0.997211058029
2866000000.00	3840947192.54	1767411.00000	1774589.00000	0.995955119749
2867000000.00	3840947193.83	1758854.00000	1761254.00000	0.998637334536
2868000000.00	3840947195.12	1771065.00000	1778159.00000	0.996010480503
2869000000.00	3840947196.40	1768785.00000	1775060.00000	0.996464908228
2870000000.00	3840947197.69	1766956.00000	1773931.00000	0.996068054507
2871000000.00	3840947198.98	1775026.00000	1781970.00000	0.996103189167
2872000000.00	3840947200.26	1774784.00000	1777278.00000	0.998596730506
2873000000.00	3840947201.54	1776948.00000	1782881.00000	0.996672240043
2874000000.00	3840947202.82	1771145.00000	1775470.00000	0.997564025300
2875000000.00	3840947204.10	1772098.00000	1778926.00000	0.996161729043
2876000000.00	3840947205.38	1777352.00000	1779467.00000	0.998811441853
2877000000.00	3840947206.66	1777137.00000	1785328.00000	0.995412047534
2878000000.00	3840947207.95	1766657.00000	1771055.00000	0.997516734376
2879000000.00	3840947209.24	1771277.00000	1779208.00000	0.995542398640
2880000000.00	3840947210.52	1777438.00000	1779276.00000	0.998966995564
2881000000.00	3840947211.80	1775155.00000	1781421.00000	0.996482583286
2882000000.00	3840947213.08	1774378.00000	1782159.00000	0.995633947364
2883000000.00	3840947214.37	1772264.00000	1782427.00000	0.994298223714
2884000000.00	3840947215.66	1762681.00000	1773972.00000	0.993635187027
2885000000.00	3840947216.95	1755947.00000	1770195.00000	0.991951169221
2886000000.00	3840947218.23	1753702.00000	1771160.00000	0.990143182999
2887000000.00	3840947219.50	1756530.00000	1776932.00000	0.988518412635
2888000000.00	3840947220.78	1743453.00000	1764744.00000	0.987935360596
2889000000.00	3840947222.06	1751852.00000	1777479.00000	0.985582389440
2890000000.00	3840947223.34	1743844.00000	1768150.00000	0.986253428725
2891000000.00	3840947224.63	1751747.00000	1773790.00000	0.987572937044
2892000000.00	3840947225.90	1751166.00000	1774773.00000	0.986698580607
2893000000.00	3840947227.18	1748339.00000	1768846.00000	0.988406565637
2894000000.00	3840947228.46	1751657.00000	1768074.00000	0.990714755152
2895000000.00	3840947229.73	1751228.00000	1769130.00000	0.989880901912
2896000000.00	3840947231.01	1751258.00000	1768139.00000	0.990452673687
2897000000.00	3840947232.31	1754051.00000	1772703.00000	0.989478214907
2898000000.00	3840947233.59	1760706.00000	1783465.00000	0.987238886101
2899000000.00	3840947234.87	1759048.00000	1782069.00000	0.987081869445
2900000000.00	3840947236.15	1760764.00000	1783904.00000	0.987028449961
2901000000.00	3840947237.44	1756088.00000	1778338.00000	0.987488317744
2902000000.00	3840947238.72	1752858.00000	1774671.00000	0.987708707698
2903000000.00	3840947240.01	1758293.00000	1780778.00000	0.987373496303
2904000000.00	3840947241.28	1751799.00000	1774468.00000	0.987224903464
