#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840963293.79	1514501.00000	1515919.00000	0.999064593821
2751000000.00	3840963295.08	1503923.00000	1505980.00000	0.998634112007
2752000000.00	3840963296.36	1482865.00000	1481750.00000	1.00075248861
2753000000.00	3840963297.65	1508757.00000	1509224.00000	0.999690569458
2754000000.00	3840963298.93	1510955.00000	1509024.00000	1.00127963505
2755000000.00	3840963300.21	1510332.00000	1510893.00000	0.999628696407
2756000000.00	3840963301.49	1520118.00000	1520898.00000	0.999487145095
2757000000.00	3840963302.77	1509212.00000	1511314.00000	0.998609157329
2758000000.00	3840963304.05	1518790.00000	1516909.00000	1.00124002165
2759000000.00	3840963305.34	1514705.00000	1512719.00000	1.00131286776
2760000000.00	3840963306.63	1504760.00000	1504140.00000	1.00041219567
2761000000.00	3840963307.91	1506165.00000	1508423.00000	0.998503072414
2762000000.00	3840963309.19	1516409.00000	1516871.00000	0.999695425649
2763000000.00	3840963310.48	1509433.00000	1513107.00000	0.997571883548
2764000000.00	3840963311.76	1518591.00000	1516539.00000	1.00135308093
2765000000.00	3840963313.04	1523368.00000	1523083.00000	1.00018712047
2766000000.00	3840963314.32	1508908.00000	1512659.00000	0.997520260680
2767000000.00	3840963315.61	1506592.00000	1506549.00000	1.00002854205
2768000000.00	3840963316.89	1498365.00000	1497558.00000	1.00053887729
2769000000.00	3840963318.17	1517113.00000	1518935.00000	0.998800475333
2770000000.00	3840963319.45	1506161.00000	1504369.00000	1.00119119711
2771000000.00	3840963320.73	1501761.00000	1498581.00000	1.00212200742
2772000000.00	3840963322.01	1511819.00000	1512276.00000	0.999697806485
2773000000.00	3840963323.29	1507562.00000	1507791.00000	0.999848122187
2774000000.00	3840963324.57	1513759.00000	1513523.00000	1.00015592759
2775000000.00	3840963325.85	1513774.00000	1515163.00000	0.999083266949
2776000000.00	3840963327.14	1519016.00000	1516211.00000	1.00185000636
2777000000.00	3840963328.42	1516101.00000	1513631.00000	1.00163183761
2778000000.00	3840963329.70	1516797.00000	1515289.00000	1.00099518970
2779000000.00	3840963330.98	1515739.00000	1513580.00000	1.00142641948
2780000000.00	3840963332.26	1517545.00000	1517364.00000	1.00011928581
2781000000.00	3840963333.54	1510783.00000	1510930.00000	0.999902708928
2782000000.00	3840963334.83	1514695.00000	1513465.00000	1.00081270462
2783000000.00	3840963336.11	1513759.00000	1516792.00000	0.998000385023
2784000000.00	3840963337.39	1516361.00000	1516029.00000	1.00021899317
2785000000.00	3840963338.67	1511562.00000	1509499.00000	1.00136667861
2786000000.00	3840963339.95	1496716.00000	1498065.00000	0.999099505028
2787000000.00	3840963341.23	1505670.00000	1506373.00000	0.999533316118
2788000000.00	3840963342.51	1508113.00000	1510820.00000	0.998208257767
2789000000.00	3840963343.79	1512996.00000	1513646.00000	0.999570573304
2790000000.00	3840963345.07	1501773.00000	1503282.00000	0.998996196322
2791000000.00	3840963346.35	1504752.00000	1502638.00000	1.00140685914
