Increment Parameter top - ^< Photon Counter1 CH A (counts)	Measured Value left - ^< Photon Counter1 CH A (counts)	Increment Parameter top - ^< Photon Counter1 CH B (counts)	Measured Value left - ^< Photon Counter1 CH B (counts)	Increment Parameter top - ^< Photon Counter1 Ratio (a.u.)	Measured Value left - ^< Photon Counter1 Ratio (a.u.)	
				2.82E+9	0.997098	
				2.821E+9	0.998092	
				2.822E+9	0.997228	
				2.823E+9	0.999247	
				2.824E+9	0.998227	
				2.825E+9	0.999606	
				2.826E+9	0.999414	
				2.827E+9	0.997825	
				2.828E+9	0.999028	
				2.829E+9	0.997714	
				2.83E+9	0.997842	
				2.831E+9	0.997916	
				2.832E+9	0.998368	
				2.833E+9	0.999738	
				2.834E+9	0.99809	
				2.835E+9	0.997146	
				2.836E+9	0.999703	
				2.837E+9	0.998944	
				2.838E+9	0.999753	
				2.839E+9	0.996871	
				2.84E+9	0.99636	
				2.841E+9	0.997214	
				2.842E+9	0.998272	
				2.843E+9	0.996126	
				2.844E+9	0.99566	
				2.845E+9	0.996388	
				2.846E+9	0.994567	
				2.847E+9	0.994015	
				2.848E+9	0.994151	
				2.849E+9	0.995947	
				2.85E+9	0.992859	
				2.851E+9	0.991438	
				2.852E+9	0.989807	
				2.853E+9	0.988308	
				2.854E+9	0.988442	
				2.855E+9	0.98564	
				2.856E+9	0.983972	
				2.857E+9	0.979157	
				2.858E+9	0.978724	
				2.859E+9	0.974838	
				2.86E+9	0.973065	
				2.861E+9	0.969237	
				2.862E+9	0.970634	
				2.863E+9	0.967992	
				2.864E+9	0.96464	
				2.865E+9	0.96516	
				2.866E+9	0.966015	
				2.867E+9	0.969592	
				2.868E+9	0.974222	
				2.869E+9	0.97622	
				2.87E+9	0.975177	
				2.871E+9	0.976722	
				2.872E+9	0.971914	
				2.873E+9	0.967803	
				2.874E+9	0.965416	
				2.875E+9	0.965994	
				2.876E+9	0.969139	
				2.877E+9	0.96929	
				2.878E+9	0.972213	
				2.879E+9	0.974335	
				2.88E+9	0.975703	
				2.881E+9	0.97861	
				2.882E+9	0.981283	
				2.883E+9	0.984006	
				2.884E+9	0.987838	
				2.885E+9	0.990917	
				2.886E+9	0.99163	
				2.887E+9	0.992041	
				2.888E+9	0.993427	
				2.889E+9	0.996497	
				2.89E+9	0.994744	
				2.891E+9	0.995366	
				2.892E+9	0.99414	
				2.893E+9	0.995853	
				2.894E+9	0.995673	
				2.895E+9	0.998705	
				2.896E+9	0.996966	
				2.897E+9	0.999086	
				2.898E+9	0.997281	
				2.899E+9	0.999662	
				2.9E+9	0.997154	
				2.901E+9	0.999311	
				2.902E+9	0.999331	
				2.903E+9	0.99728	
				2.904E+9	0.999225	
				2.905E+9	1.000807	
				2.906E+9	0.99792	
				2.907E+9	1.000077	
				2.908E+9	0.998437	
				2.909E+9	0.999568	
				2.91E+9	0.997334	
				2.911E+9	1.001577	
				2.912E+9	0.998798	
				2.913E+9	0.999085	
				2.914E+9	1.00025	
				2.915E+9	1.000303	
				2.916E+9	0.998848	
				2.917E+9	1.00074	
				2.918E+9	0.998776	
				2.919E+9	0.99856	
				2.92E+9	0.997989	
