#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2820000000.00	3840941769.98	1719341.00000	1724345.00000	0.997098028527
2821000000.00	3840941771.28	1725602.00000	1728901.00000	0.998091851413
2822000000.00	3840941772.56	1711991.00000	1716749.00000	0.997228482440
2823000000.00	3840941773.84	1720466.00000	1721763.00000	0.999246702363
2824000000.00	3840941775.13	1722495.00000	1725555.00000	0.998226657510
2825000000.00	3840941776.41	1719251.00000	1719928.00000	0.999606378872
2826000000.00	3840941777.69	1715462.00000	1716467.00000	0.999414495006
2827000000.00	3840941778.97	1723446.00000	1727203.00000	0.997824806928
2828000000.00	3840941780.24	1727445.00000	1729126.00000	0.999027832558
2829000000.00	3840941781.52	1728514.00000	1732475.00000	0.997713675522
2830000000.00	3840941782.81	1733234.00000	1736983.00000	0.997841659936
2831000000.00	3840941784.09	1725643.00000	1729247.00000	0.997915855861
2832000000.00	3840941785.37	1723473.00000	1726290.00000	0.998368176842
2833000000.00	3840941786.65	1730577.00000	1731031.00000	0.999737728556
2834000000.00	3840941787.94	1733867.00000	1737185.00000	0.998090013441
2835000000.00	3840941789.23	1726868.00000	1731811.00000	0.997145762442
2836000000.00	3840941790.51	1721876.00000	1722387.00000	0.999703318708
2837000000.00	3840941791.79	1729246.00000	1731074.00000	0.998944008171
2838000000.00	3840941793.07	1726719.00000	1727146.00000	0.999752771335
2839000000.00	3840941794.35	1725329.00000	1730745.00000	0.996870711746
2840000000.00	3840941795.62	1728082.00000	1734396.00000	0.996359539575
2841000000.00	3840941796.91	1731922.00000	1736760.00000	0.997214353163
2842000000.00	3840941798.20	1725486.00000	1728472.00000	0.998272462614
2843000000.00	3840941799.48	1724190.00000	1730896.00000	0.996125705993
2844000000.00	3840941800.77	1727298.00000	1734828.00000	0.995659512067
2845000000.00	3840941802.05	1730167.00000	1736439.00000	0.996388010175
2846000000.00	3840941803.33	1722213.00000	1731621.00000	0.994566940456
2847000000.00	3840941804.61	1734702.00000	1745146.00000	0.994015400431
2848000000.00	3840941805.89	1736989.00000	1747208.00000	0.994151240150
2849000000.00	3840941807.17	1734950.00000	1742011.00000	0.995946638684
2850000000.00	3840941808.46	1725806.00000	1738219.00000	0.992858782466
2851000000.00	3840941809.73	1729207.00000	1744141.00000	0.991437618862
2852000000.00	3840941811.01	1718274.00000	1735969.00000	0.989806845629
