#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3840951845.26	1756464.00000	1756973.00000	0.999710297199
2751000000.00	3840951846.55	1760689.00000	1762085.00000	0.999207756720
2752000000.00	3840951847.83	1762836.00000	1764257.00000	0.999194561790
2753000000.00	3840951849.11	1761826.00000	1762169.00000	0.999805353516
2754000000.00	3840951850.40	1763950.00000	1764314.00000	0.999793687518
2755000000.00	3840951851.69	1756248.00000	1757533.00000	0.999268861524
2756000000.00	3840951852.97	1751683.00000	1751988.00000	0.999825912050
2757000000.00	3840951854.25	1760951.00000	1759990.00000	1.00054602583
2758000000.00	3840951855.53	1759160.00000	1757790.00000	1.00077938775
2759000000.00	3840951856.81	1762045.00000	1765171.00000	0.998229066759
2760000000.00	3840951858.09	1760625.00000	1760985.00000	0.999795568957
2761000000.00	3840951859.39	1760775.00000	1763682.00000	0.998351743682
2762000000.00	3840951860.67	1756652.00000	1756725.00000	0.999958445403
2763000000.00	3840951861.95	1766255.00000	1767698.00000	0.999183684091
2764000000.00	3840951863.23	1759184.00000	1759340.00000	0.999911330385
2765000000.00	3840951864.52	1760530.00000	1760652.00000	0.999930707488
2766000000.00	3840951865.80	1753695.00000	1758036.00000	0.997530767288
2767000000.00	3840951867.08	1771083.00000	1770254.00000	1.00046829438
2768000000.00	3840951868.36	1766912.00000	1766501.00000	1.00023266333
2769000000.00	3840951869.64	1764699.00000	1762934.00000	1.00100117191
2770000000.00	3840951870.93	1764822.00000	1765697.00000	0.999504444987
2771000000.00	3840951872.22	1756222.00000	1757575.00000	0.999230189323
2772000000.00	3840951873.50	1760276.00000	1763277.00000	0.998298055269
2773000000.00	3840951874.80	1754107.00000	1755817.00000	0.999026094405
2774000000.00	3840951876.08	1747960.00000	1749272.00000	0.999249973703
2775000000.00	3840951877.36	1758498.00000	1757609.00000	1.00050580078
2776000000.00	3840951878.64	1768842.00000	1770706.00000	0.998947312541
2777000000.00	3840951879.93	1767262.00000	1769787.00000	0.998573274637
2778000000.00	3840951881.21	1755702.00000	1757685.00000	0.998871811502
2779000000.00	3840951882.49	1747340.00000	1749149.00000	0.998965782789
2780000000.00	3840951883.78	1747496.00000	1753658.00000	0.996486201985
2781000000.00	3840951885.06	1751166.00000	1753441.00000	0.998702551155
2782000000.00	3840951886.34	1765620.00000	1765640.00000	0.999988672663
2783000000.00	3840951887.62	1749607.00000	1751495.00000	0.998922063723
2784000000.00	3840951888.90	1744051.00000	1744611.00000	0.999679011539
2785000000.00	3840951890.18	1751072.00000	1751808.00000	0.999579862633
2786000000.00	3840951891.46	1761667.00000	1764147.00000	0.998594221457
2787000000.00	3840951892.75	1766163.00000	1766485.00000	0.999817717105
2788000000.00	3840951894.03	1763234.00000	1764335.00000	0.999375968849
2789000000.00	3840951895.31	1758237.00000	1759341.00000	0.999372492314
2790000000.00	3840951896.59	1755835.00000	1759611.00000	0.997854071155
2791000000.00	3840951897.88	1757399.00000	1757603.00000	0.999883932834
2792000000.00	3840951899.16	1753974.00000	1756449.00000	0.998590906995
2793000000.00	3840951900.45	1766019.00000	1765485.00000	1.00030246646
2794000000.00	3840951901.73	1767215.00000	1766191.00000	1.00057977874
2795000000.00	3840951903.02	1756538.00000	1758703.00000	0.998768979185
2796000000.00	3840951904.30	1762466.00000	1763693.00000	0.999304300692
2797000000.00	3840951905.58	1765722.00000	1769636.00000	0.997788245718
2798000000.00	3840951906.86	1760335.00000	1761099.00000	0.999566179982
2799000000.00	3840951908.13	1756290.00000	1756899.00000	0.999653366528
2800000000.00	3840951909.41	1750527.00000	1752417.00000	0.998921489577
2801000000.00	3840951910.69	1749418.00000	1751248.00000	0.998955030927
2802000000.00	3840951911.97	1758437.00000	1758934.00000	0.999717442496
2803000000.00	3840951913.25	1753632.00000	1754735.00000	0.999371415057
2804000000.00	3840951914.53	1757165.00000	1761141.00000	0.997742372700
